,tok_src,tok_trg,tok_pred,smi_src,smi_trg,smi_pred,Tc
12,CcccNcccCF)F)F))ccn6)))))))nc-ccncCC)O)CCCNC5))))))s5)))))c6,CcccNcccCF)F)F))ccn6)))))))nc-ccncCC)O)CCCNC=O)OCC)C)C))))C5))))))s5)))))c6,CcccNcccCF)F)F))ccn6)))))))nc-ccncCC)O)CCCNC=O)OCC)C)C))))C5))))))s5)))))c6,Cc4cc(Nc1cc(C(F)(F)F)ccn1)nc(-c3cnc(C(C)(O)C2CCNC2)s3)c4,Cc4cc(Nc1cc(C(F)(F)F)ccn1)nc(-c3cnc(C(C)(O)C2CCN(C(=O)OC(C)(C)C)C2)s3)c4,Cc4cc(Nc1cc(C(F)(F)F)ccn1)nc(-c3cnc(C(C)(O)C2CCN(C(=O)OC(C)(C)C)C2)s3)c4,1.0
13,CCC)C)OC=O)NCCNC=O)cccCOSC)=O)=O))))ccc6F))))))))CC6,CCC)C)OC=O)NCCNC=O)cccCO))ccc6F))))))))CC6.CS=O)=O)Cl,CCC)C)OC=O)NCCNC=O)cccCO))ccc6F))))))))CC6.CS=O)=O)Cl,CC(C)(C)OC(=O)N2CCN(C(=O)c1cc(COS(C)(=O)=O)ccc1F)CC2,CC(C)(C)OC(=O)N2CCN(C(=O)c1cc(CO)ccc1F)CC2.CS(=O)(=O)Cl,CC(C)(C)OC(=O)N2CCN(C(=O)c1cc(CO)ccc1F)CC2.CS(=O)(=O)Cl,1.0
14,CCCC=O)ccnccC)cccc6c%10Ncccccc6OC,CCCC=O)ccnccC)cccc6c%10Cl.COcccccc6N,CCCC=O)ccnccC)cccc6c%10Cl.COcccccc6N,CCCC(=O)c2cnc1c(C)cccc1c2Nc3ccccc3OC,CCCC(=O)c2cnc1c(C)cccc1c2Cl.COc3ccccc3N,CCCC(=O)c2cnc1c(C)cccc1c2Cl.COc3ccccc3N,1.0
15,COccccCNCCcncNC=O)N[C@H]C)cccccc6))))))))))ccc6c%10nn5Ccccccc6))))))cccccc6))))))cccccc6))))))))))))))))))))cc6,COccccCNCCcncCl)ccc6c%10nn5Ccccccc6))))))cccccc6))))))cccccc6))))))))))))))))))))cc6.C[C@@H]NCN)=O)))cccccc6,COccccCNCCcncN)ccc6c%10nn5Ccccccc6))))))cccccc6))))))cccccc6)))))))))))))))))))cc6.C[C@@H]N=C=O)))cccccc6,COc8ccc(CN3CCc2nc(NC(=O)N[C@H](C)c1ccccc1)cc4c2c3nn4C(c5ccccc5)(c6ccccc6)c7ccccc7)cc8,COc7ccc(CN2CCc1nc(Cl)cc3c1c2nn3C(c4ccccc4)(c5ccccc5)c6ccccc6)cc7.C[C@@H](NC(N)=O)c8ccccc8,COcc7ccC(N2CCc1nc(N)cc3c1c2nn3C(c4ccccc4)(c5ccccc5)c6ccccc6)cc7.C[C@@H](N=C=O)c8ccccc8,0.0
16,CC=Ccccccc6))))))C=O)NCC)C)C=O)CCCC)Br))))))CO6,Br.C=CCCC=O)CC)C)NCOCC)=Ccccccc6))))))C6=O,CCBr)CCC=O)CC)C)NC=O)C=Ccccccc6))))))CO6.CC=Ccccccc6))))))C=O)N5Br,CC2=C(c1ccccc1)C(=O)N(C(C)(C)C(=O)CCC(C)Br)CO2,Br.C=CCCC(=O)C(C)(C)N2COC(C)=C(c1ccccc1)C2=O,CC(Br)CCC(=O)C(C)(C)N2C(=O)C=C(c1ccccc1)CO2.C4C=C(c3ccccc3)C(=O)N4Br,0.3333333333333333
17,CSccc-nncC)cc5NcccNC=O)cccccCF)F)F))c6))))))))ccc6C)))))))))))))ncn6,CSccc-nncC)cc5N))))))ncn6.CccccNC=O)cccccCF)F)F))c6))))))))cc6Br,CSccc-nncC)cc5N))))))ncn6.CccccNC=O)cccccCF)F)F))c6))))))))cc6Br,CSc4cc(-n1nc(C)cc1Nc3cc(NC(=O)c2cccc(C(F)(F)F)c2)ccc3C)ncn4,CSc2cc(-n1nc(C)cc1N)ncn2.Cc4ccc(NC(=O)c3cccc(C(F)(F)F)c3)cc4Br,CSc2cc(-n1nc(C)cc1N)ncn2.Cc4ccc(NC(=O)c3cccc(C(F)(F)F)c3)cc4Br,1.0
18,NcncccOcccF)ccc6F))))))))c6I,NcncccCl)c6I.OcccF)ccc6F,NcncccCl)c6I.OcccF)ccc6F,Nc2nccc(Oc1cc(F)ccc1F)c2I,Nc1nccc(Cl)c1I.Oc2cc(F)ccc2F,Nc1nccc(Cl)c1I.Oc2cc(F)ccc2F,1.0
19,N#CC[C@H]O)cccccc6,N#CCC=O)cccccc6,N#CCC=O)cccccc6,N#CC[C@H](O)c1ccccc1,N#CCC(=O)c1ccccc1,N#CCC(=O)c1ccccc1,1.0
20,CCNCccccCNCCNcncccc6C=O)OCC)C))))))))))CC6)))))))cn6)))))))CccF)cccc6Cl,CCC)OC=O)ccccnc6NCCNCC6.CCNCccccC=O))cn6)))))))CccF)cccc6Cl,CCC)OC=O)ccccnc6NCCNCC6.CCNCccccC=O))cn6)))))))CccF)cccc6Cl,CCN(Cc3ccc(CN2CCN(c1ncccc1C(=O)OC(C)C)CC2)cn3)Cc4c(F)cccc4Cl,CC(C)OC(=O)c1cccnc1N2CCNCC2.CCN(Cc3ccc(C=O)cn3)Cc4c(F)cccc4Cl,CC(C)OC(=O)c1cccnc1N2CCNCC2.CCN(Cc3ccc(C=O)cn3)Cc4c(F)cccc4Cl,1.0
21,COCCOCOccCC=CC)CCC=O)O)))))))cOC))cC)cc6C=O)OC5,COCCOCOccC/C=C\C)CCC=O)OC))))))))cOC))cC)cc6C=O)OC5,COCCOCOccCC=CC)CCC=O)OC))))))))cOC))cC)cc6C=O)OC5,COCCOCOc1c(CC=C(C)CCC(=O)O)c(OC)c(C)c2c1C(=O)OC2,COCCOCOc1c(C/C=C(\C)CCC(=O)OC)c(OC)c(C)c2c1C(=O)OC2,COCCOCOc1c(CC=C(C)CCC(=O)OC)c(OC)c(C)c2c1C(=O)OC2,1.0
22,CcncCl)cCl)n5Ccsccc5C=O)O)))c=O)nC)c=O)n6CCC)C,COC=O)ccCncC)ncCl)c5Cl)))))))scc5c=O)nC)c=O)n6CCC)C,COC=O)cccscCncC)ncCl)c5Cl)))))))nC)c=O)n6CCC)C,Cc1nc(Cl)c(Cl)n1Cc2sc3c(c2C(=O)O)c(=O)n(C)c(=O)n3CC(C)C,COC(=O)c2c(Cn1c(C)nc(Cl)c1Cl)sc3c2c(=O)n(C)c(=O)n3CC(C)C,COC(=O)ccc2sc(Cn1c(C)nc(Cl)c1Cl)n(C)c(=O)n2CC(C)C,0.0
23,Occcccc-ccnc-cccccc6))))))o5)))))ccc6c%10,COcccccc-ccnc-cccccc6))))))o5)))))ccc6c%10,COcccccc-ccnc-cccccc6))))))o5)))))ccc6c%10,Oc4ccc3cc(-c2cnc(-c1ccccc1)o2)ccc3c4,COc4ccc3cc(-c2cnc(-c1ccccc1)o2)ccc3c4,COc4ccc3cc(-c2cnc(-c1ccccc1)o2)ccc3c4,1.0
24,Ccccccc6-ccccncNC=O)CC)C)C))))ccc6c%10,CCC)C)C=O)Cl.Ccccccc6-ccccncN)ccc6c%10,CCC)C)C=O)Cl.Ccccccc6-ccccncN)ccc6c%10,Cc1ccccc1-c3ccc2nc(NC(=O)C(C)(C)C)ccc2c3,CC(C)(C)C(=O)Cl.Cc1ccccc1-c3ccc2nc(N)ccc2c3,CC(C)(C)C(=O)Cl.Cc1ccccc1-c3ccc2nc(N)ccc2c3,1.0
25,CCC)C)OC=O)NCCccccN)cc6F,CCC)C)OC=O)OC=O)OCC)C)C.NCCccccN)cc6F,CCC)C)OC=O)NCCcccc[N+]=O)[O-]))cc6F,CC(C)(C)OC(=O)NCCc1ccc(N)cc1F,CC(C)(C)OC(=O)OC(=O)OC(C)(C)C.NCCc1ccc(N)cc1F,CC(C)(C)OC(=O)NCCc1ccc([N+](=O)[O-])cc1F,0.3953488372093023
26,O=CO)CCNccccC=O)NCcncc[nH]5))))))))cc6CNCCcccccc6))))))))C%11=O,COC=O)CCNccccC=O)NCcncc[nH]5))))))))cc6CNCCcccccc6))))))))C%11=O,COC=O)CCNccccC=O)NCcncc[nH]5))))))))cc6CNCCcccccc6))))))))C%11=O,O=C(O)CC4Nc2ccc(C(=O)NCc1ncc[nH]1)cc2CN(CCc3ccccc3)C4=O,COC(=O)CC4Nc2ccc(C(=O)NCc1ncc[nH]1)cc2CN(CCc3ccccc3)C4=O,COC(=O)CC4Nc2ccc(C(=O)NCc1ncc[nH]1)cc2CN(CCc3ccccc3)C4=O,1.0
27,CCcccCC)=O))cO)cc6OCcccccC=O)O))n6,CCcccCC)=O))cO)cc6OCcccccC=O)OC)))n6,CCOC=O)cccccCOcccO)cCC)=O))cc6CC))))))))))n6,CCc1cc(C(C)=O)c(O)cc1OCc2cccc(C(=O)O)n2,CCc1cc(C(C)=O)c(O)cc1OCc2cccc(C(=O)OC)n2,CCOC(=O)c2cccc(COc1cc(O)c(C(C)=O)cc1CC)n2,0.8493150684931506
28,CCOC=O)CNcccccc6)OCO5,CCOC=O)CBr.Ncccccc6)OCO5,CCOC=O)CCl.Ncccccc6)OCO5,CCOC(=O)CNc1ccc2c(c1)OCO2,CCOC(=O)CBr.Nc1ccc2c(c1)OCO2,CCOC(=O)CCl.Nc1ccc2c(c1)OCO2,0.8076923076923077
29,CCC)C)OC=O)NCCCOCCO))))CC6,CCC)C)OC=O)COCCCNC=O)OCC)C)C))))CC6,CCC)C)OC=O)NCCCO)CC6.OCCBr,CC(C)(C)OC(=O)N1CCC(OCCO)CC1,CC(C)(C)OC(=O)COC1CCN(C(=O)OC(C)(C)C)CC1,CC(C)(C)OC(=O)N1CCC(O)CC1.OCCBr,0.4647887323943662
30,O=COCcccccc6))))))))NCCC[C@@H]5Ccc[nH]cccc-cccccCO))c6))))))cc96,CCCC[Sn]CCCC))))CCCC))))cccccCO))c6.O=COCcccccc6))))))))NCCC[C@@H]5Ccc[nH]ccccBr)cc96,O=CCl)OCcccccc6.OCccccc-cccc[nH]ccC[C@H]CCCN5))))))c5c9)))))))))c6,O=C(OCc1ccccc1)N2CCC[C@@H]2Cc4c[nH]c5ccc(-c3cccc(CO)c3)cc45,CCCC[Sn](CCCC)(CCCC)c1cccc(CO)c1.O=C(OCc2ccccc2)N3CCC[C@@H]3Cc4c[nH]c5ccc(Br)cc45,O=C(Cl)OCc1ccccc1.OCc5cccc(-c4ccc3[nH]cc(C[C@H]2CCCN2)c3c4)c5,0.4810126582278481
31,CcccCl)cNC=O)CNCCNCCO)))CC6)))))))))cCl)n6,CcccCl)cNC=O)CBr))))cCl)n6.OCCNCCNCC6,CcccCl)cNC=O)CBr))))cCl)n6.OCCNCCNCC6,Cc2cc(Cl)c(NC(=O)CN1CCN(CCO)CC1)c(Cl)n2,Cc1cc(Cl)c(NC(=O)CBr)c(Cl)n1.OCCN2CCNCC2,Cc1cc(Cl)c(NC(=O)CBr)c(Cl)n1.OCCN2CCNCC2,1.0
32,COcccC=O)NCCCNSC)=O)=O))CC6))))))))ccc6Ncncccn6)NCCCCCC6))))))CCF)F)C=O)N7C,COcccC=O)O))ccc6Ncncccn6)NCCCCCC6))))))CCF)F)C=O)N7C.CS=O)=O)NCCCN)CC6,CNC=O)CF)F)CNCCCCCC6))))))cncCl)ncc6%11.COcccC=O)NCCCNSC)=O)=O))CC6))))))))ccc6N,COc2cc(C(=O)NC1CCN(S(C)(=O)=O)CC1)ccc2Nc3ncc5c(n3)N(C4CCCCC4)CC(F)(F)C(=O)N5C,COc1cc(C(=O)O)ccc1Nc2ncc4c(n2)N(C3CCCCC3)CC(F)(F)C(=O)N4C.CS(=O)(=O)N5CCC(N)CC5,CN3C(=O)C(F)(F)CN(C1CCCCC1)c2nc(Cl)ncc23.COc5cc(C(=O)NC4CCN(S(C)(=O)=O)CC4)ccc5N,0.7285714285714285
33,O=CCccccCl)cCl)c6)))))))Ncccccc6I,Ncccccc6I.O=CO)CccccCl)cCl)c6,Ncccccc6I.O=CO)CccccCl)cCl)c6,O=C(Cc1ccc(Cl)c(Cl)c1)Nc2ccccc2I,Nc1ccccc1I.O=C(O)Cc2ccc(Cl)c(Cl)c2,Nc1ccccc1I.O=C(O)Cc2ccc(Cl)c(Cl)c2,1.0
34,Occnn-ccccBr)cc6))))))n5,CC=O)Occnn-ccccBr)cc6))))))n5,COccnn-ccccBr)cc6))))))n5,Oc2cnn(-c1ccc(Br)cc1)n2,CC(=O)Oc2cnn(-c1ccc(Br)cc1)n2,COc2cnn(-c1ccc(Br)cc1)n2,0.7346938775510204
35,C=CCNCCCCO)ccccc[nH]ccc95)))))))))C6,C=CCBr.OCccccc[nH]ccc95)))))))))CCCNC6,C=CCNCCCC=O)ccccc[nH]ccc95)))))))))C6,C=CCN3CCCC(O)(c1cccc2[nH]ccc12)C3,C=CCBr.OC3(c1cccc2[nH]ccc12)CCCNC3,C=CCN3CCCC(=O)(c1cccc2[nH]ccc12)C3,0.0
36,Nccc[N+]=O)[O-]))ccc6F,O=[N+][O-])ccccF)c[N+]=O)[O-]))c6,O=[N+][O-])ccccF)c[N+]=O)[O-]))c6,Nc1cc([N+](=O)[O-])ccc1F,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1,1.0
37,CCcnocCC))c5CScncC)ccO)n6,CCcnocCC))c5CBr.CcccO)ncS)n6,CCcnocCC))c5CS.CcccO)ncCl)n6,CCc1noc(CC)c1CSc2nc(C)cc(O)n2,CCc1noc(CC)c1CBr.Cc2cc(O)nc(S)n2,CCc1noc(CC)c1CS.Cc2cc(O)nc(Cl)n2,0.6875
38,CNC)Cccnnn5-cccccC=O)CC=O)NcccCF)F)F))cNCCOCC6))))))cc6NC=O)OCC)C)C)))))))))))))))c6,CCC)C)OC=O)NcccNCCOCC6))))))cCF)F)F))cc6N.CNC)Cccnnn5-cccccC=O)CC=O)OCC)C)C))))))c6,CCC)C)OC=O)NcccNCCOCC6))))))cCF)F)F))cc6N.CNC)Cccnnn5-cccccC=O)CC=O)OCC)C)C))))))c6,CN(C)Cc1cnnn1-c4cccc(C(=O)CC(=O)Nc3cc(C(F)(F)F)c(N2CCOCC2)cc3NC(=O)OC(C)(C)C)c4,CC(C)(C)OC(=O)Nc2cc(N1CCOCC1)c(C(F)(F)F)cc2N.CN(C)Cc3cnnn3-c4cccc(C(=O)CC(=O)OC(C)(C)C)c4,CC(C)(C)OC(=O)Nc2cc(N1CCOCC1)c(C(F)(F)F)cc2N.CN(C)Cc3cnnn3-c4cccc(C(=O)CC(=O)OC(C)(C)C)c4,1.0
39,O=ccF)cNCCOCC6))))))ncn6CC[C@@H]CF)F)F))N6,CCOCCN6.O=ccF)cCl)ncn6CC[C@@H]CF)F)F))N6,FccF)cBr)ncn6CC[C@@H]CF)F)F))N6.O=ccF)cNCCOCC6))))))nc[nH]6,O=c2c(F)c(N1CCOCC1)nc3n2CC[C@@H](C(F)(F)F)N3,C1COCCN1.O=c2c(F)c(Cl)nc3n2CC[C@@H](C(F)(F)F)N3,Fc1c(F)c(Br)nc2n1CC[C@@H](C(F)(F)F)N2.O=c4c(F)c(N3CCOCC3)nc[nH]4,0.0
40,CNC=O)cccccc6)CC=O)N5CCCNCC=O)NC[C@H]CCC[C@H]5C8))))))))))CC6,CNC=O)cccccc6)CC=O)N5CCCNCC6.O=CCCl))NC[C@H]CCC[C@H]5C8,CNC=O)cccccc6)CC=O)N5CCCNCC6.O=CCCl))NC[C@H]CCC[C@H]5C8,CNC(=O)c1ccc2c(c1)CC(=O)N2C5CCN(CC(=O)N4C[C@H]3CCC[C@H]3C4)CC5,CNC(=O)c1ccc2c(c1)CC(=O)N2C3CCNCC3.O=C(CCl)N5C[C@H]4CCC[C@H]4C5,CNC(=O)c1ccc2c(c1)CC(=O)N2C3CCNCC3.O=C(CCl)N5C[C@H]4CCC[C@H]4C5,1.0
41,CCOC=O)cccccc6)CCC)C)CcccccNC=O)NCCOCC6))))))))c6))))))N6,CCOC=O)cccccc6)CCC)C)CcccccN)c6))))))N6.O=CCl)NCCOCC6,CCOC=O)cccccc6)CCC)C)CcccccN)c6))))))N6.O=CCl)NCCOCC6,CCOC(=O)c1ccc4c(c1)CC(C)(C)C(c3cccc(NC(=O)N2CCOCC2)c3)N4,CCOC(=O)c1ccc3c(c1)CC(C)(C)C(c2cccc(N)c2)N3.O=C(Cl)N4CCOCC4,CCOC(=O)c1ccc3c(c1)CC(C)(C)C(c2cccc(N)c2)N3.O=C(Cl)N4CCOCC4,1.0
42,CNCCnnccc5-ccc-cccccc6CF)F)F))))))))ccc6OcccF)cS=O)=O)Ncnncs5)))))))cc6Cl)))))))))))))))))))C4,C=O.O=S=O)Ncnncs5))))))cccCl)cOcccc-cccccc6CF)F)F))))))))cc6-cccnn5CCNC4))))))))))))))))cc6F,C=O.O=S=O)Ncnncs5))))))cccCl)cOcccc-cccccc6CF)F)F))))))))cc6-cccnn5CCNC4))))))))))))))))cc6F,CN6CC(n1nccc1-c3cc(-c2ccccc2C(F)(F)F)ccc3Oc5cc(F)c(S(=O)(=O)Nc4nncs4)cc5Cl)C6,C=O.O=S(=O)(Nc1nncs1)c6cc(Cl)c(Oc3ccc(-c2ccccc2C(F)(F)F)cc3-c4ccnn4C5CNC5)cc6F,C=O.O=S(=O)(Nc1nncs1)c6cc(Cl)c(Oc3ccc(-c2ccccc2C(F)(F)F)cc3-c4ccnn4C5CNC5)cc6F,1.0
43,Ccnc[C@@H]N)CCCC3)))))no5,Ccnc[C@H]CCCC3))))NC=O)OCC)C)C))))))no5,Ccnc[C@@H]NC=O)OCC)C)C)))))CCCC3)))))no5,Cc2nc([C@@H](N)CC1CC1)no2,Cc2nc([C@H](CC1CC1)NC(=O)OC(C)(C)C)no2,Cc2nc([C@@H](NC(=O)OC(C)(C)C)CC1CC1)no2,1.0
44,CCCccccCCC)C)))cc6))))))cncO)cCCCCO)))))s5,CCOC=O)CCCcscCCC))ccccCCC)C)))cc6)))))))nc5O,CCCccccCCC)C)))cc6))))))cncO)cC#CCCO)))))s5,CCC(c1ccc(CC(C)C)cc1)c2nc(O)c(CCCCO)s2,CCOC(=O)CCCc2sc(C(CC)c1ccc(CC(C)C)cc1)nc2O,CCC(c1ccc(CC(C)C)cc1)c2nc(O)c(C#CCCO)s2,0.5777777777777777
45,CCCC)C=O)CC=O)NCC=O)O)))))=CO)cccCl)ccc6%10,CCCC)C=O)CC=O)NCC=O)OCC)C)C)))))))=CO)cccCl)ccc6%10,CCCC)C)OC=O)CNC=O)C=CO)cccCl)ccc6CC)CC)C%10=O,CCC2(C)C(=O)C(C(=O)NCC(=O)O)=C(O)c1cc(Cl)ccc12,CCC2(C)C(=O)C(C(=O)NCC(=O)OC(C)(C)C)=C(O)c1cc(Cl)ccc12,CCC(C)(C)OC(=O)CNC(=O)C=C2(O)c1cc(Cl)ccc1C(C)C(C)C2=O,0.0
46,O=CCCccccOCCCNCC6)))))))cc6N%10,CCC)C)OC=O)NCCCOcccccc6)NC=O)CC6))))))))))CC6,CCC)C)OC=O)NCCCOcccccc6)NC=O)CC6))))))))))CC6,O=C3CCc2ccc(OC1CCNCC1)cc2N3,CC(C)(C)OC(=O)N3CCC(Oc1ccc2c(c1)NC(=O)CC2)CC3,CC(C)(C)OC(=O)N3CCC(Oc1ccc2c(c1)NC(=O)CC2)CC3,1.0
47,NC=O)COccccC=O)CNCCNcccncc6))))))CC6))))))))cc6,COC=O)COccccC=O)CNCCNcccncc6))))))CC6))))))))cc6.N,CCNCC))CC.O=CO)ccccOCCN)=O))))cc6)))))))CNCCNcccncc6))))))CC6,NC(=O)COc3ccc(C(=O)CN2CCN(c1ccncc1)CC2)cc3,COC(=O)COc3ccc(C(=O)CN2CCN(c1ccncc1)CC2)cc3.N,CCN(CC)CC.O(=C(O)c1ccc(OCC(N)=O)cc1)CN3CCN(c2ccncc2)CC3,0.0
48,COcccccc6NCCNCCCCNC=O)cccccc6)Ccccccc6-9))))))))))))))))))CC6,COcccccc6NCCNCCCCN)))))CC6.O=CO)cccccc6)Ccccccc6-9,COcccccc6NCCNCCCCN)))))CC6.O=CO)cccccc6)Ccccccc6-9,COc1ccccc1N5CCN(CCCCNC(=O)c2ccc4c(c2)Cc3ccccc3-4)CC5,COc1ccccc1N2CCN(CCCCN)CC2.O=C(O)c3ccc5c(c3)Cc4ccccc4-5,COc1ccccc1N2CCN(CCCCN)CC2.O=C(O)c3ccc5c(c3)Cc4ccccc4-5,1.0
49,CncccCOccccN)cNCccccOCF)F)F)))cc6F)))))))))c6))))))))n5,CncccCOcccc[N+]=O)[O-]))cNCccccOCF)F)F)))cc6F)))))))))c6))))))))n5,CncccCOcccc[N+]=O)[O-]))cNCccccOCF)F)F)))cc6F)))))))))c6))))))))n5,Cn3ccc(COc2ccc(N)c(NCc1ccc(OC(F)(F)F)cc1F)c2)n3,Cn3ccc(COc2ccc([N+](=O)[O-])c(NCc1ccc(OC(F)(F)F)cc1F)c2)n3,Cn3ccc(COc2ccc([N+](=O)[O-])c(NCc1ccc(OC(F)(F)F)cc1F)c2)n3,1.0
